,dep,date,month,tx_incid
24686,63,2020-11-15,2020-11,282.927420332001
24716,63,2020-12-15,2020-12,132.07318550829999
24747,63,2021-01-15,2021-01,192.65721555797901
24778,63,2021-02-15,2021-02,164.940021810251
24806,63,2021-03-15,2021-03,182.66085059978198
24982,64,2020-08-15,2020-08,14.198536526101199
25013,64,2020-09-15,2020-09,88.5578824566103
25043,64,2020-10-15,2020-10,188.533144800189
25074,64,2020-11-15,2020-11,263.62437405678503
25104,64,2020-12-15,2020-12,128.665088726216
25135,64,2021-01-15,2021-01,128.372335395781
25166,64,2021-02-15,2021-02,60.7463160652781
25194,64,2021-03-15,2021-03,57.96515942614489
25370,65,2020-08-15,2020-08,13.666080347735601
25401,65,2020-09-15,2020-09,50.6967496770837
25431,65,2020-10-15,2020-10,186.03502924981998
25462,65,2020-11-15,2020-11,425.411855985964
25492,65,2020-12-15,2020-12,205.872887819114
25523,65,2021-01-15,2021-01,168.401377188226
25554,65,2021-02-15,2021-02,85.52321249873259
25582,65,2021-03-15,2021-03,113.73705579728399
25758,66,2020-08-15,2020-08,7.72442588726514
25789,66,2020-09-15,2020-09,94.3632567849687
25819,66,2020-10-15,2020-10,251.98329853862202
25850,66,2020-11-15,2020-11,133.402922755741
25880,66,2020-12-15,2020-12,46.972860125261
25911,66,2021-01-15,2021-01,213.98747390396701
25942,66,2021-02-15,2021-02,99.79123173277658
25970,66,2021-03-15,2021-03,102.713987473904
26146,67,2020-08-15,2020-08,12.4491549142818
26177,67,2020-09-15,2020-09,61.8043151772857
26207,67,2020-10-15,2020-10,161.57413824918999
26238,67,2020-11-15,2020-11,253.75085974217004
26268,67,2020-12-15,2020-12,130.053937508774
26299,67,2021-01-15,2021-01,199.363062386159
26330,67,2021-02-15,2021-02,157.77758745972798
26358,67,2021-03-15,2021-03,220.553113304085
26534,68,2020-08-15,2020-08,11.6613644582576
26565,68,2020-09-15,2020-09,38.783863816227395
26595,68,2020-10-15,2020-10,112.551821007227
26626,68,2020-11-15,2020-11,261.398001058695
26656,68,2020-12-15,2020-12,174.789440306917
26687,68,2021-01-15,2021-01,178.45818418142503
26718,68,2021-02-15,2021-02,132.860938883968
26746,68,2021-03-15,2021-03,143.343064239705
26922,69,2020-08-15,2020-08,29.1569898686123
26953,69,2020-09-15,2020-09,192.691989716697
26983,69,2020-10-15,2020-10,511.873078077302
27014,69,2020-11-15,2020-11,401.215105559497
27044,69,2020-12-15,2020-12,184.643168016221
27075,69,2021-01-15,2021-01,210.761860951541
27106,69,2021-02-15,2021-02,205.058391269747
27134,69,2021-03-15,2021-03,327.17660660611
27310,70,2020-08-15,2020-08,11.149514996097698
27341,70,2020-09-15,2020-09,18.0107549936962
27371,70,2020-10-15,2020-10,89.19611996878142
27402,70,2020-11-15,2020-11,329.768347384581
27432,70,2020-12-15,2020-12,219.988507423004
27463,70,2021-01-15,2021-01,267.588359906344
27494,70,2021-02-15,2021-02,174.10396493906399
